Name,SKU,Supplier ID,Price,Image URLs,Product URL
De Gregorio Compass Series Cajon - Made in SPAIN!,DG-COMPASS,,$239.00,https://cdn2.bigcommerce.com/server3500/08e8a/products/3321/images/6070/Facebook-Ad-TemplateDGREDANDBLK__20188.1480742150.1280.1280.jpg,https://www.drumtek.com.au/de-gregorio-compass-series-cajon-made-in-spain/
Dixon bass Drum Felt Strip,PAWS-BF-HP,,$8.95,https://cdn2.bigcommerce.com/server3500/08e8a/products/3717/images/7101/716E-AByTOL._SL1500___40211.1529539990.1280.1280.jpg,https://www.drumtek.com.au/dixon-bass-drum-felt-strip/
Dixon Bass Drum Practice Pad,DX3750,,$109.95,https://cdn2.bigcommerce.com/server3500/08e8a/products/2996/images/5282/PDP_92__28879.1446087395.1280.1280.jpg,https://www.drumtek.com.au/dixon-bass-drum-practice-pad/
Dixon Cowbell Bass Drum Hoop Clamp,PRCBH268R SP,,$14.95,https://cdn2.bigcommerce.com/server3500/08e8a/products/3161/images/5639/SC268R__14078.1464756286.1280.1280.jpg,https://www.drumtek.com.au/dixon-cowbell-bass-drum-hoop-clamp/
Dixon PP915 Single Pedal,PP915,,$59.95,https://cdn2.bigcommerce.com/server3500/08e8a/products/3270/images/5913/PP915__77448.1472091687.1280.1280.jpg,https://www.drumtek.com.au/dixon-pp915-single-pedal/
Dixon PP9290 Single Pedal,PP9290,,$119.00,https://cdn2.bigcommerce.com/server3500/08e8a/products/3271/images/5915/PP9290__75932.1472091846.1280.1280.jpg,https://www.drumtek.com.au/dixon-pp9290-single-pedal/
Dixon PSH9270 Hi Hat Stand,PSH9270,,$94.95,https://cdn2.bigcommerce.com/server3500/08e8a/products/3275/images/5920/PSH9270__75420.1472092358.1280.1280.jpg,https://www.drumtek.com.au/dixon-psh9270-hi-hat-stand/
Dixon PSH9280 Hi Hat Stand,PSH9280,,$115.00,https://cdn2.bigcommerce.com/server3500/08e8a/products/3276/images/5922/PSH9280__15504.1472092452.1280.1280.jpg,https://www.drumtek.com.au/dixon-psh9280-hi-hat-stand/
Dixon PSS9270 Snare Stand,PSS9270,,$69.95,https://cdn2.bigcommerce.com/server3500/08e8a/products/3272/images/5917/PSS9270__33982.1472091999.1280.1280.jpg,https://www.drumtek.com.au/dixon-pss9270-snare-stand/
Dixon PSS9280 Snare Stand,PSS9280,,$89.95,https://cdn2.bigcommerce.com/server3500/08e8a/products/3274/images/5918/PSS9270__52204.1472092049.1280.1280.jpg,https://www.drumtek.com.au/dixon-pss9280-snare-stand/
Dixon PSY9270 Straight Cymbal Stand,PSY9270,,$59.95,https://cdn2.bigcommerce.com/server3500/08e8a/products/3277/images/5924/PSY9270__97180.1472092579.1280.1280.jpg,https://www.drumtek.com.au/dixon-psy9270-straight-cymbal-stand/
Dixon PSY9270I Boom Cymbal Stand,PSY9270I,,$79.95,https://cdn2.bigcommerce.com/server3500/08e8a/products/3280/images/5932/PSY9270I__91115.1472093044.1280.1280.jpg,https://www.drumtek.com.au/dixon-psy9270i-boom-cymbal-stand/
Dixon PSY9280 Straight Cymbal Stand,PSY9280,,$89.95,https://cdn2.bigcommerce.com/server3500/08e8a/products/3278/images/5926/PSY9280__72076.1472092685.1280.1280.jpg,https://www.drumtek.com.au/dixon-psy9280-straight-cymbal-stand/
Dixon PSY9280I Boom Cymbal Stand,PSY9280I,,$105.00,https://cdn2.bigcommerce.com/server3500/08e8a/products/3279/images/5929/PSY9280I__47955.1472092814.1280.1280.jpg,https://www.drumtek.com.au/dixon-psy9280i-boom-cymbal-stand/
Drumscene Magazine (Latest Issue),DS98,,$9.95,https://cdn2.bigcommerce.com/server3500/08e8a/products/3101/images/7562/Screen_Shot_2019-10-17_at_11.22.08_am__54801.1571271791.1280.1280.png,https://www.drumtek.com.au/drumscene-magazine-latest-issue/
DW 2000 Series Single Pedal,DWCP2000,,$169.95,https://cdn2.bigcommerce.com/server3500/08e8a/products/702/images/1917/dw2000__41469.1342507956.1280.1280.jpg,https://www.drumtek.com.au/2000-series-single-pedal/
DW 2000 Series Twin Pedal,DWCP2002,,$339.95,https://cdn2.bigcommerce.com/server3500/08e8a/products/703/images/1918/dw-2000-2002__36081.1342507957.1280.1280.jpg,https://www.drumtek.com.au/2000-series-twin-pedal/
DW 3000 Series 2 Leg Hi Hat Stand,DWCP3500T,,$279.95,https://cdn2.bigcommerce.com/server3500/08e8a/products/699/images/1914/177873_details__85338.1342507951.1280.1280.jpg,https://www.drumtek.com.au/3000-series-2-leg-l-weight-double-braced-hi-hat-stand/
DW 3000 Series Lightweight Double Braced Boom Stand,DWCP3700,,$159.95,https://cdn2.bigcommerce.com/server3500/08e8a/products/700/images/1915/dw-3000-dw3700__70399.1342507952.1280.1280.jpg,https://www.drumtek.com.au/dw-3000-series-lightweight-double-braced-boom-stand/
DW 3000 Series Lightweight Double Braced Hi Hat Stand,DWCP3500,,$279.95,https://cdn2.bigcommerce.com/server3500/08e8a/products/698/images/1913/dw-3000-dw-3500__90770.1342507950.1280.1280.jpg,https://www.drumtek.com.au/3000-series-lightweight-double-braced-hi-hat-stand/
DW 3000 Series Single Pedal,DWCP3000,,$259.95,https://cdn2.bigcommerce.com/server3500/08e8a/products/704/images/1919/dwcp3000-xl-04__95833.1342507958.1280.1280.jpg,https://www.drumtek.com.au/dw-3000-series-single-pedal/
DW 3000 Series Snare Drum Stand,DWCP3300,,$159.95,https://cdn2.bigcommerce.com/server3500/08e8a/products/701/images/1916/DW3300__48921.1342507954.1280.1280.jpg,https://www.drumtek.com.au/3000-series-snare-drum-stand/
DW 3000 Series Twin Pedal,DWCP3002,,$459.95,https://cdn2.bigcommerce.com/server3500/08e8a/products/705/images/1920/dw-3000-dw3002__25310.1342507959.1280.1280.jpg,https://www.drumtek.com.au/3000-series-twin-pedal/
DW 5000 Series 2 Leg Heavy Duty Hi Hat Stand,DWCP5500TD,,$429.95,https://cdn2.bigcommerce.com/server3500/08e8a/products/693/images/1908/DWCP5500TD-xlarge__33179.1342507944.1280.1280.jpg,https://www.drumtek.com.au/5000-series-2-leg-heavy-duty-hi-hat-stand/
DW 5000 Series Boom Cymbal Stand,DWCP5700,,$229.95,https://cdn2.bigcommerce.com/server3500/08e8a/products/694/images/1909/DV020_Jpg_Jumbo_443457__46211.1342507945.1280.1280.jpg,https://www.drumtek.com.au/5000-series-boom-cymbal-stand/
DW 5000 Series Heavy Duty Hi Hat Stand,DWCP5500D,,$439.95,https://cdn2.bigcommerce.com/server3500/08e8a/products/692/images/1907/DWCP5500D-xlarge__22807.1342507943.1280.1280.jpg,https://www.drumtek.com.au/5000-series-heavy-duty-hi-hat-stand/
DW 5000 Series Round Throne,DWCP5100,,$219.95,https://cdn2.bigcommerce.com/server3500/08e8a/products/697/images/1912/dwcp5100-xl__77151.1342507949.1280.1280.jpg,https://www.drumtek.com.au/5000-series-round-throne/
DW 5000 Series Single Pedal,DWCP5000AD4,,$359.95,https://cdn2.bigcommerce.com/server3500/08e8a/products/706/images/1921/DW5000AD4__44716.1342507961.1280.1280.jpg,https://www.drumtek.com.au/dw-5000-series-single-pedal/
DW 5000 Series Snare Stand,DWCP5300,,$239.95,https://cdn2.bigcommerce.com/server3500/08e8a/products/696/images/1911/dw-5300__58945.1342507948.1280.1280.jpg,https://www.drumtek.com.au/5000-series-snare-stand/
DW 5000 Series Straight Cymbal Stand,DWCP5710,,$179.95,https://cdn2.bigcommerce.com/server3500/08e8a/products/695/images/1910/DV020_Jpg_Jumbo_443459__86487.1342507946.1280.1280.jpg,https://www.drumtek.com.au/5000-series-straight-cymbal-stand/
DW 5000 Series Twin Pedal,DWCP5002AD4,,$759.95,https://cdn2.bigcommerce.com/server3500/08e8a/products/707/images/1922/dw-5000-dw5002td4-turbo-delta__07131.1342507962.1280.1280.jpg,https://www.drumtek.com.au/5000-series-twin-pedal/
DW 9000 Series Cable/Remote Hi Hat Stand,DWCP9502LB8,,$829.95,https://cdn2.bigcommerce.com/server3500/08e8a/products/687/images/1902/f6ad3936-825c-4556-a6d7-9c64010fee74_581x455__35478.1342507932.1280.1280.jpg,https://www.drumtek.com.au/9000-series-cable-remote-hi-hat-stand/
DW 9000 Series Heavy Duty 2 Leg Hi Hat Stand,DWCP9500TB,,$669.95,https://cdn2.bigcommerce.com/server3500/08e8a/products/686/images/1901/DV020_Jpg_Jumbo_443467__09176.1342507932.1280.1280.jpg,https://www.drumtek.com.au/9000-series-heavy-duty-2-leg-hi-hat-stand/
DW 9000 Series Heavy Duty 3 Leg Hi Hat Stand,DWCP9500D,,$669.95,https://cdn2.bigcommerce.com/server3500/08e8a/products/685/images/1900/DW9500D__31146.1342507930.1280.1280.jpg,https://www.drumtek.com.au/9000-series-heavy-duty-3-leg-hi-hat-stand/
DW 9000 Series Heavy Duty Boom Cymbal Stand,DWCP9700,,$299.95,https://cdn2.bigcommerce.com/server3500/08e8a/products/688/images/1903/DWCP9700-xlarge__68736.1342507933.1280.1280.jpg,https://www.drumtek.com.au/9000-series-heavy-duty-boom-cymbal-stand/
DW 9000 Series Heavy Duty Snare Stand,DWCP9300,,$289.95,https://cdn2.bigcommerce.com/server3500/08e8a/products/690/images/1905/dwcp9300-xl__95504.1342507935.1280.1280.jpg,https://www.drumtek.com.au/9000-series-heavy-duty-snare-stand/
DW 9000 Series Heavy Duty Straight Cymbal Stand,DWCP9710,,$229.95,https://cdn2.bigcommerce.com/server3500/08e8a/products/689/images/1904/DWCP9710-xlarge__97053.1342507934.1280.1280.jpg,https://www.drumtek.com.au/9000-series-heavy-duty-straight-cymbal-stand/
DW 9000 Series Round Throne,DWCP9100M,,$379.95,https://cdn2.bigcommerce.com/server3500/08e8a/products/3749/images/7152/61CZrSD3dWL._SL1500___23550.1540353498.1280.1280.jpg,https://www.drumtek.com.au/dw-9000-series-round-throne/
DW 9000 Series Single Pedal,DWCP9000PB,,$559.95,https://cdn2.bigcommerce.com/server3500/08e8a/products/708/images/1923/dwcp9000pb-xl__02811.1342507963.1280.1280.jpg,https://www.drumtek.com.au/9000-series-single-pedal/
DW 9000 Series Twin Pedal,DWCP9002PC,,"$1,039.95",https://cdn2.bigcommerce.com/server3500/08e8a/products/709/images/1924/DWCP9002PC__55522_zoom__98876.1342507963.1280.1280.jpg,https://www.drumtek.com.au/9000-series-twin-pedal/
"DW Collectors - 4 Piece Shell Set (22"", 10"", 12"", 16,"") - 1 ONLY!",DWCOL1ONLY,,"$4,399.00",https://cdn2.bigcommerce.com/server3500/08e8a/products/3764/images/7178/DRKT52C070-large__45869.1541044596.1280.1280.jpg,https://www.drumtek.com.au/dw-collectors-4-piece-shell-set-22-10-12-16-1-only-1/
"DW Performance Series  4 Piece (22"", 10"", 12"", 16"") Shell Set - 1 ONLY!",DWPLROCK4A,,"$3,649.00",https://cdn2.bigcommerce.com/server3500/08e8a/products/710/images/7210/PSK522GS-large__46859.1541387677.1280.1280.jpg,https://www.drumtek.com.au/dw-performance-series-4-piece-22-10-12-16-shell-set-1-only/
"DXP - 5 Piece Beginner Kit (16"", 8"", 10"", 12"", 10"" SNR) With Cymbals, Hardware, Stool & Sticks",DXPTXJ5,,$259.00,"https://cdn2.bigcommerce.com/server3500/08e8a/products/3686/images/7019/DXP_Junior_Drum_Kit_Wine_Red__14091.1445215761__10425.1524812367.1280.1280.jpg
https://cdn2.bigcommerce.com/server3500/08e8a/products/3686/images/7020/drums-cymbals-dxp-junior-series-5-piece-drum-kit-with-cymbals-stool-and-sticks-metallic-blue-dxp-10994188611__26715.1524812369.1280.1280.png
https://cdn2.bigcommerce.com/server3500/08e8a/products/3686/images/7022/TXJ5PK__99601.1445215763__85970.1524812370.1280.1280.jpg
https://cdn2.bigcommerce.com/server3500/08e8a/products/3686/images/7021/90749__32761.1445215763__41549.1524812369.1280.1280.png
https://cdn2.bigcommerce.com/server3500/08e8a/products/3686/images/7018/1596_TXJ5__01429.1445215761__88016.1524812365.1280.1280.jpg",https://www.drumtek.com.au/dxp-5-piece-beginner-kit-16-8-10-12-10-snr-with-cymbals-hardware-stool-sticks/
"DXP - 5 Piece Junior Kit (16"", 8"", 10"", 12"", 10"" SNR) With Cymbals, Hardware, Stool & Sticks",DXPTXJ7,,$289.00,https://cdn2.bigcommerce.com/server3500/08e8a/products/3685/images/7016/jnr1__44189.1524808880.1280.1280.jpg,https://www.drumtek.com.au/dxp-5-piece-junior-kit-16-8-10-12-10-snr-with-cymbals-hardware-stool-sticks/
"DXP - 5 Piece Starter Kit (20"", 10"", 12"", 14"", 14"" SNR) With Cymbals, Hardware, Stool & Sticks",DXPSTARTER,,$449.00,https://cdn2.bigcommerce.com/server3500/08e8a/products/3683/images/7153/d3859b888add9789c369211ec918557a_1024x10242x__10844.1540525841.1280.1280.jpg,https://www.drumtek.com.au/dxp-5-piece-starter-kit-20-10-12-14-14-snr-with-cymbals-hardware-stool-sticks/
DXP Budget Wire Brushes,DA789,,$19.95,https://cdn2.bigcommerce.com/server3500/08e8a/products/3560/images/6708/DXP_Drum_Brushes_1024x1024__03249.1498174706__05448.1516238842.1280.1280.jpg,https://www.drumtek.com.au/dxp-budget-wire-brushes/
DXP Cajon Pedal,DXPCP30,,$249.00,https://cdn2.bigcommerce.com/server3500/08e8a/products/3465/images/6438/dxpcp30_cajon_pedal__02331.1501741462.1280.1280.jpg,https://www.drumtek.com.au/dxp-cajon-pedal/
DXP Soft Felt Mallet,DXP213,,$11.95,https://cdn2.bigcommerce.com/server3500/08e8a/products/3558/images/6706/DBT217__10464.1516238529.1280.1280.jpg,https://www.drumtek.com.au/dxp-soft-felt-mallet/
